Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Relates),Outward issue link (Relates),Custom field (Development),Custom field (Issue color),Custom field (Rank),Sprint,Custom field (Start date),Custom field (Story point estimate),Parent,Parent summary,Status Category
admin letters are not visible properly,ST-8,10085,Bug,To Do,ST,SATHISH,software,sathish kumar,634e3b4776b91b62562b5740,,Medium,,,,sathish kumar,634e3b4776b91b62562b5740,sathish kumar,634e3b4776b91b62562b5740,15/Nov/22 7:47 AM,15/Nov/22 7:47 AM,23/Feb/23 2:58 PM,,,0,,,sathish kumar,634e3b4776b91b62562b5740,,,,,,,,,,ST-3,{},,0|i000hj:,,,,,,To Do
Recruitment,ST-7,10084,TEST,To Do,ST,SATHISH,software,sathish kumar,634e3b4776b91b62562b5740,,Medium,,,,sathish kumar,634e3b4776b91b62562b5740,sathish kumar,634e3b4776b91b62562b5740,14/Nov/22 10:01 PM,14/Nov/22 10:02 PM,23/Feb/23 2:58 PM,,,0,,,sathish kumar,634e3b4776b91b62562b5740,,,,,,,,,,,{},,0|i000hb:,,,,10078,OHRM,To Do
leave,ST-6,10083,TEST,To Do,ST,SATHISH,software,sathish kumar,634e3b4776b91b62562b5740,,Medium,,,,sathish kumar,634e3b4776b91b62562b5740,sathish kumar,634e3b4776b91b62562b5740,14/Nov/22 10:01 PM,14/Nov/22 10:02 PM,23/Feb/23 2:58 PM,,,0,,,sathish kumar,634e3b4776b91b62562b5740,,,,,,,,,,,{},,0|i000h3:,,,,10078,OHRM,To Do
myinfo,ST-5,10082,TEST,To Do,ST,SATHISH,software,sathish kumar,634e3b4776b91b62562b5740,,Medium,,,,sathish kumar,634e3b4776b91b62562b5740,sathish kumar,634e3b4776b91b62562b5740,14/Nov/22 9:59 PM,14/Nov/22 10:02 PM,23/Feb/23 2:57 PM,,,0,,,sathish kumar,634e3b4776b91b62562b5740,,,,,,,,,,,{},,0|i000gv:,,,,10078,OHRM,To Do
pim,ST-4,10081,TEST,Done,ST,SATHISH,software,sathish kumar,634e3b4776b91b62562b5740,,Medium,Done,,,sathish kumar,634e3b4776b91b62562b5740,sathish kumar,634e3b4776b91b62562b5740,14/Nov/22 9:58 PM,15/Nov/22 8:05 AM,23/Feb/23 2:58 PM,15/Nov/22 8:05 AM,,0,,,sathish kumar,634e3b4776b91b62562b5740,,,,,,,,,,,{},,0|i000g1:,ST Sprint 1,,,10078,OHRM,Done
admin,ST-3,10080,TEST,Done,ST,SATHISH,software,sathish kumar,634e3b4776b91b62562b5740,,Medium,Done,,,sathish kumar,634e3b4776b91b62562b5740,sathish kumar,634e3b4776b91b62562b5740,14/Nov/22 9:58 PM,15/Nov/22 7:55 AM,23/Feb/23 2:58 PM,15/Nov/22 7:55 AM,,0,,,sathish kumar,634e3b4776b91b62562b5740,,,,,,,,,ST-8,,{},,0|i000g3:,ST Sprint 1,,,10078,OHRM,Done
LOGIN ISSUE,ST-2,10079,TEST,Done,ST,SATHISH,software,sathish kumar,634e3b4776b91b62562b5740,,Medium,Done,,,sathish kumar,634e3b4776b91b62562b5740,sathish kumar,634e3b4776b91b62562b5740,14/Nov/22 9:57 PM,15/Nov/22 7:55 AM,23/Feb/23 2:57 PM,15/Nov/22 7:55 AM,,0,,,sathish kumar,634e3b4776b91b62562b5740,,,,,,,,,,,{},,0|i000g7:,ST Sprint 1,,,10078,OHRM,Done
OHRM,ST-1,10078,Epic,To Do,ST,SATHISH,software,sathish kumar,634e3b4776b91b62562b5740,,Medium,,,,sathish kumar,634e3b4776b91b62562b5740,sathish kumar,634e3b4776b91b62562b5740,14/Nov/22 9:55 PM,14/Nov/22 9:55 PM,23/Feb/23 2:57 PM,,,0,,,sathish kumar,634e3b4776b91b62562b5740,,,,,,,,,,,{},,0|i000fz:,,,,,,To Do
